Propinsi,Kota atau Kabupaten,Coord_X,Coord_Y,Zone_UTM,lng_adj,Zona_TM3,EPSG
Aceh,Tapaktuan,97.1807,3.2583,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Aceh,Kutacane,97.8139,3.4852,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Aceh,Meulaboh,96.1236,4.143,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Aceh,Langsa,97.9622,4.468,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Aceh,Takengon,96.8446,4.6203,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Aceh,Lhokseumawe,97.1498,5.1797,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Aceh,Sigli,95.9612,5.3852,46 - North,94.5,Zona 46.2; EPSG: 23830,23830
Bali,Denpasar,115.327,-8.5423,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bali,Badung,115.327,-8.5423,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bali,Gianyar,115.327,-8.5423,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bali,Tabanan,115.1248,-8.5384,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bali,Klungkung,115.3964,-8.5361,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bali,Bangli,115.3518,-8.4546,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bali,Amlapura,115.5993,-8.4442,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bali,Negara,114.6213,-8.3589,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bali,Singaraja,115.0869,-8.1124,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Bengkulu,Mainna,102.9063,-4.4703,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Bengkulu,Curup,102.5231,-3.4643,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Irian,Merauke,140.3752,-8.4972,54 - South,139.5,Zona 54.1; EPSG: 23845,23845
Irian,Wamena,138.8972,-4.0099,54 - South,139.5,Zona 54.1; EPSG: 23845,23845
Irian,Fak-Fak,132.3049,-2.9311,53 - South,133.5,Zona 53.1; EPSG: 23843,23843
Irian,Sarmi,138.7494,-1.8546,54 - South,139.5,Zona 54.1; EPSG: 23845,23845
Irian,Serui,136.2474,-1.8827,53 - South,136.5,Zona 53.2; EPSG: 23844,23844
Irian,Waigema,129.8197,-1.8225,52 - South,130.5,Zona 52.2; EPSG: 23842,23842
Irian,Ransiki,134.1706,-1.5036,53 - South,133.5,Zona 53.1; EPSG: 23843,23843
Irian,Biak,136.0747,-1.1841,53 - South,136.5,Zona 53.2; EPSG: 23844,23844
Irian,Korem,136.0391,-0.8999,53 - South,136.5,Zona 53.2; EPSG: 23844,23844
Irian,Sorong,131.2497,-0.8713,52 - South,130.5,Zona 52.2; EPSG: 23842,23842
Irian,Manokwari,134.0738,-0.8522,53 - South,133.5,Zona 53.1; EPSG: 23843,23843
Irian,Yenggarbun,135.6233,-0.6773,53 - South,136.5,Zona 53.2; EPSG: 23844,23844
Jabar,Tasikmalaya,108.2214,-7.3268,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jabar,Ciamis,108.3509,-7.3283,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jabar,Garut,107.8996,-7.2284,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Kuningan,108.478,-6.9795,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jabar,Sukabumi,106.9213,-6.9214,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Sumedang,107.9214,-6.8522,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Majalengka,108.2249,-6.8336,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jabar,Cianjur,107.1356,-6.8004,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Cirebon,108.5521,-6.7191,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jabar,Bogor,106.8011,-6.5859,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Subang,107.7699,-6.5562,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Purwakarta,107.4388,-6.5418,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Rangkasbitung,106.2668,-6.3604,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Pandeglang,106.1075,-6.3168,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Indramayu,108.3216,-6.3304,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jabar,Karawang,107.3002,-6.2938,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Bekasi,107.0111,-6.2455,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Tangerang,106.6214,-6.1766,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jabar,Serang,106.1526,-6.117,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Jambi,Sungai Penuh,101.3966,-2.0656,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Jambi,Ranjaupanjang,102.3093,-1.8557,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Jambi,Muaratembesi,103.1056,-1.723,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Jambi,Muara Bungo,102.1272,-1.4883,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Jambi,Kualatungkal,103.468,-0.816,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Jateng,Wonogiri,110.9218,-7.8174,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Cilacap,109.0042,-7.7211,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Purworejo,110.0062,-7.7126,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Klaten,110.6018,-7.7059,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Kebumen,109.6662,-7.6753,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Sukoharjo,110.8374,-7.6891,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Karanganyar,110.9399,-7.5986,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Surakarta,110.812,-7.5622,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Boyolali,110.5973,-7.5321,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Banyumas,109.2898,-7.5097,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Magelang,110.2215,-7.491,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Purwokerto,109.2273,-7.4172,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Sragen,111.0212,-7.433,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jateng,Banjarnegara,109.697,-7.3998,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Purbolinggo,109.3604,-7.3861,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Wonosobo,109.9014,-7.3606,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Salatiga,110.5064,-7.3299,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Temanggung,110.1818,-7.3154,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Ungaran,110.4078,-7.1204,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Purwodadi,110.9142,-7.0771,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Blora,111.4201,-6.9698,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jateng,Kendal,110.1963,-6.9255,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Batang,109.7281,-6.9012,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Pemalang,109.3755,-6.8904,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Pekalongan,109.6749,-6.8875,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Demak,110.6493,-6.8945,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Tegal,109.1293,-6.8707,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Brebes,109.0365,-6.8665,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Kudus,110.8403,-6.8072,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jateng,Pati,111.039,-6.7523,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jateng,Rembang,111.3428,-6.7042,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jateng,Jepara,110.6684,-6.5928,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Jatim,Pacitan,111.1053,-8.2013,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Banyuwangi,114.3688,-8.2111,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Jatim,Jember,113.6977,-8.169,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Lumajang,113.2232,-8.1326,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Blitar,112.1649,-8.1014,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Tulungagung,111.9115,-8.0779,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Trenggalek,111.7127,-8.0524,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Malang,112.6279,-7.9738,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Bondowoso,113.824,-7.9154,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Ponorogo,111.4719,-7.864,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Kediri,112.019,-7.8199,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Probolinggo,113.2139,-7.7549,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Besuki,113.6889,-7.7362,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Situbondo,114.0099,-7.7067,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Jatim,Magetan,111.3209,-7.6504,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Pasuruan,112.8991,-7.655,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Madiun,111.5257,-7.6334,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Nganjuk,111.8967,-7.6068,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Jombang,112.2318,-7.5394,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Mojokerto,112.4348,-7.47,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Sidoarjo,112.7172,-7.4625,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Ngawi,111.439,-7.4022,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Sampang,113.2495,-7.1948,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Gresik,112.653,-7.1603,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Bojonegoro,111.8844,-7.1522,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Pamekasan,113.4825,-7.1618,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Lamongan,112.4136,-7.1182,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Bangkalan,112.7383,-7.0378,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Sumenep,113.8604,-7.0089,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Jatim,Tuban,112.0582,-6.8961,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Kalbar,Ketapang,109.9689,-1.8515,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Kalbar,Sintang,111.4957,0.0815,49 - North,112.5,Zona 49.2; EPSG: 23836,23836
Kalbar,Sangau,110.5864,0.1223,49 - North,109.5,Zona 49.1; EPSG: 23835,23835
Kalbar,Putussibau,112.9304,0.8751,49 - North,112.5,Zona 49.2; EPSG: 23836,23836
Kalbar,Singkawang,108.9862,0.9131,49 - North,109.5,Zona 49.1; EPSG: 23835,23835
Kalbar,Sambas,109.3092,1.361,49 - North,109.5,Zona 49.1; EPSG: 23835,23835
Kalsel,Pelaihari,114.7698,-3.7941,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Banjarbaru,114.8273,-3.4428,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Martapura,114.8497,-3.41,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Kotabaru,116.2489,-3.2174,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Marabahan,114.7826,-2.9827,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Rantau,115.1434,-2.9384,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Kandangan,115.2589,-2.7842,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Barabai,115.3901,-2.586,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Amuntai,115.2459,-2.4382,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalsel,Tanjung,115.3954,-2.1501,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalteng,Kualakapuas,114.3823,-3.0105,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalteng,Pangkalanbun,111.623,-2.6852,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Kalteng,Sampit,112.9603,-2.544,49 - South,112.5,Zona 49.2; EPSG: 23836,23836
Kalteng,Buntok,114.8353,-1.7221,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalteng,Muara Teweh,114.9165,-0.9499,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kalteng,Puruk Cahu,114.5656,-0.6234,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kaltim,Tanah Grogot,116.192,-1.9135,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kaltim,Balikpapan,116.8315,-1.2469,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kaltim,Tenggarong,116.9827,-0.4094,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Kaltim,Tanjungredeb,117.4979,2.1493,50 - North,118.5,Zona 50.2; EPSG: 23838,23838
Kaltim,Tanjung Selor,117.3651,2.8414,50 - North,118.5,Zona 50.2; EPSG: 23838,23838
Kaltim,Tarakan,117.5924,3.2976,50 - North,118.5,Zona 50.2; EPSG: 23838,23838
Kaltim,Nunukan,117.657,4.1474,50 - North,118.5,Zona 50.2; EPSG: 23838,23838
Lampung,Panjang,105.3205,-5.4798,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Lampung,Metro,105.3043,-5.1161,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Lampung,Liwa,104.0796,-5.033,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Lampung,Kotabumi,104.8833,-4.8236,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Maluku,Tual,132.7805,-5.6234,53 - South,133.5,Zona 53.1; EPSG: 23843,23843
Maluku,Masohi,128.9664,-3.2172,52 - South,127.5,Zona 52.1; EPSG: 23841,23841
Maluku,Soasiu,127.4349,0.6457,52 - North,127.5,Zona 52.1; EPSG: 23841,23841
Maluku,Ternate,127.3822,0.7807,52 - North,127.5,Zona 52.1; EPSG: 23841,23841
Ntb,Labuhanpoh,115.8741,-8.7499,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Ntb,Praya,116.292,-8.7023,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Ntb,Selong,116.5384,-8.6525,50 - South,115.5,Zona 50.1; EPSG: 23837,23837
Ntb,Dompu,118.4517,-8.5424,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Ntb,Sumbawa Besar,117.4231,-8.4991,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Ntb,Bima,118.7322,-8.454,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Ntt,Soe,124.2667,-9.8631,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Ntt,Waingapu,120.2642,-9.6553,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Ntt,Waikabubak,119.4172,-9.6295,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Ntt,Kefamenanu,124.4819,-9.4485,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Ntt,Atambua,124.8968,-9.115,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Ntt,Ende,121.6425,-8.846,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Ntt,Bajawa,120.9607,-8.7873,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Ntt,Maumere,122.2213,-8.6246,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Ntt,Ruteng,120.4658,-8.6005,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Ntt,Larantuka,122.9854,-8.3452,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Ntt,Kalabahi,124.5188,-8.2191,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Riau,Rengat,102.5304,-0.3697,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Riau,Tembilahan,103.1632,-0.303,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Riau,Bangkinang,101.0178,0.3459,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Riau,Tanjung Pinang,104.4433,0.9255,48 - North,103.5,Zona 48.1; EPSG: 23833,23833
Riau,Bengkalis,102.0999,1.4766,48 - North,103.5,Zona 48.1; EPSG: 23833,23833
Riau,Dumai,101.4419,1.6759,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Riau,Bagasiapiapi,100.8096,2.1598,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sulsel,Jene Ponto,119.7139,-5.6905,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Bulukumba,120.1738,-5.5695,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulsel,Bonthain,119.9419,-5.5448,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Takalar,119.4107,-5.4711,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Sungguminasa,119.4535,-5.2107,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Sinjai,120.2293,-5.1523,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulsel,Maros,119.5702,-5.005,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Pangkajene,119.538,-4.8201,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Watampone,120.3292,-4.5368,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulsel,Barru,119.6293,-4.3834,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Watansopeng,119.8682,-4.3152,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Sengkang,120.0154,-4.1216,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulsel,Pare-pare,119.6318,-4.0126,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Sidenreng,119.8144,-3.8458,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Pinrang,119.6534,-3.7917,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Enrekang,119.7702,-3.57,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Majene,118.9683,-3.5405,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Polewali,119.3439,-3.4278,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Makale,119.8511,-3.1152,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Palopo,120.1995,-2.996,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulsel,Mamuju,118.9308,-2.6639,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulteng,Banggai,123.5017,-1.5881,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Sulteng,Poso,120.7531,-1.3923,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulteng,Luwuk,122.7822,-0.9616,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulteng,Donggala,119.7366,-0.6664,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulteng,Mountong,121.2414,0.4639,51 - North,121.5,Zona 51.1; EPSG: 23839,23839
Sulteng,Tolitoli,120.8168,1.0507,51 - North,121.5,Zona 51.1; EPSG: 23839,23839
Sultra,Baubau,122.6025,-5.4553,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sultra,Raha,122.7221,-4.839,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sultra,Kolaka,121.6099,-4.0625,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulut,Gorontalo,123.0653,0.545,51 - North,124.5,Zona 51.2; EPSG: 23840,23840
Sulut,Kotamobagu,124.2926,0.7328,51 - North,124.5,Zona 51.2; EPSG: 23840,23840
Sulut,Bitung,125.1857,1.4415,51 - North,124.5,Zona 51.2; EPSG: 23840,23840
Sulut,Tahuna,125.48,3.6032,51 - North,124.5,Zona 51.2; EPSG: 23840,23840
Sumbar,Painan,100.574,-1.3492,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Solok,100.6541,-0.7906,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Sawahlunto,100.7785,-0.682,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Pariaman,100.1209,-0.6288,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Padang Panjang,100.3985,-0.4628,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Batusangkar,100.594,-0.4569,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Bukit Tinggi,100.3691,-0.3034,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Payakumbuh,100.6305,-0.2234,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Lubuksikaping,100.1701,0.1319,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumsel,Martapura,104.3495,-4.3266,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Baturaja,104.173,-4.121,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Lahat,103.5414,-3.7975,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Prabumulih,104.2368,-3.4359,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Kayuagung,104.8387,-3.3898,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Lubuklinggau,102.8662,-3.2933,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Plaju,104.8148,-2.9993,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Toboali,106.4541,-3.014,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumsel,Sungai Gerong,104.8428,-2.9894,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Tanjungpandan,107.6332,-2.7284,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumsel,Pangkalpinang,106.1161,-2.1197,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumsel,Sungai Liat,106.1261,-1.8552,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumsel,Belinyu,105.7786,-1.6391,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumut,Padangsidempuan,99.2755,1.3733,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Sibolga,98.7795,1.7409,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Tarutung,98.9675,2.0115,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Barus,98.4011,2.0105,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Rantauprapat,99.8309,2.085,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Sidikalang,98.3116,2.7471,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Tanjung Balai,99.8083,2.9553,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Pematangsiantar,99.0664,2.9618,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Kisaran,99.626,2.9816,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Kabanjahe,98.4894,3.1,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Tebing Tinggi,99.1602,3.3298,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Binjai,98.4858,3.6027,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Timtim,Pante Makasar,124.3692,-9.2141,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Timtim,Same,125.6522,-9.0051,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Timtim,Maliana,125.2213,-8.997,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Timtim,Vikuekue,126.3766,-8.881,52 - South,127.5,Zona 52.1; EPSG: 23841,23841
Timtim,Ermera,125.3963,-8.759,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Timtim,Manatuto,126.0172,-8.5251,52 - South,127.5,Zona 52.1; EPSG: 23841,23841
Timtim,Baukau,126.4548,-8.4736,52 - South,127.5,Zona 52.1; EPSG: 23841,23841
Yogya,Wonosari,110.5999,-7.9613,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Yogya,Bantul,110.3582,-7.8936,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Yogya,Wates,110.1779,-7.8476,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Yogya,Sleman,110.3471,-7.6997,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
